level_0,index,team,code,name,surname,laps,time,grand_prix,date
4,E,Mercedes,ROS,Nico,Rosberg,66,1:41:12.555,                         Spain                     ,10 May 2015
5,F,Mercedes,ROS,Nico,Rosberg,78,1:49:18.420,                         Monaco                     ,24 May 2015
6,G,Mercedes,HAM,Lewis,Hamilton,70,1:31:53.145,                         Canada                     ,07 Jun 2015
7,H,Mercedes,ROS,Nico,Rosberg,71,1:30:16.930,                         Austria                     ,21 Jun 2015
8,J,Mercedes,HAM,Lewis,Hamilton,52,1:31:27.729,                         Great Britain                     ,05 Jul 2015
9,K,Ferrari,VET,Sebastian,Vettel,69,1:46:09.985,                         Hungary                     ,26 Jul 2015
10,L,Mercedes,HAM,Lewis,Hamilton,43,1:23:40.387,                         Belgium                     ,23 Aug 2015
11,I,Mercedes,HAM,Lewis,Hamilton,53,1:18:00.688,                         Italy                     ,06 Sep 2015
12,M,Ferrari,VET,Sebastian,Vettel,61,2:01:22.118,                         Singapore                     ,20 Sep 2015
13,P,Mercedes,HAM,Lewis,Hamilton,53,1:28:06.508,                         Japan                     ,27 Sep 2015
14,R,Mercedes,HAM,Lewis,Hamilton,53,1:37:11.024,                         Russia                     ,11 Oct 2015
15,S,Mercedes,HAM,Lewis,Hamilton,56,1:50:52.703,                         United States                      ,25 Oct 2015
16,V,Mercedes,ROS,Nico,Rosberg,71,1:42:35.038,                         Mexico                     ,01 Nov 2015
17,X,Mercedes,ROS,Nico,Rosberg,71,1:31:09.090,                         Brazil                     ,15 Nov 2015
18,Q,Mercedes,ROS,Nico,Rosberg,55,1:38:30.175,                         Abu Dhabi                     ,29 Nov 2015
0,A,Mercedes,ROS,Nico,Rosberg,57,1:48:15.565,                         Australia                     ,20 Mar 2016
1,B,Mercedes,ROS,Nico,Rosberg,57,1:33:34.696,                         Bahrain                     ,03 Apr 2016
2,C,Mercedes,ROS,Nico,Rosberg,56,1:38:53.891,                         China                     ,17 Apr 2016
3,D,Mercedes,ROS,Nico,Rosberg,53,1:32:41.997,                         Russia                     ,01 May 2016
4,E,Red Bull Racing TAG Heuer,VES,Max,Verstappen,66,1:41:40.017,                         Spain                     ,15 May 2016
5,F,Mercedes,HAM,Lewis,Hamilton,78,1:59:29.133,                         Monaco                     ,29 May 2016
6,G,Mercedes,HAM,Lewis,Hamilton,70,1:31:05.296,                         Canada                     ,12 Jun 2016
7,H,Mercedes,ROS,Nico,Rosberg,51,1:32:52.366,                         Europe                     ,19 Jun 2016
8,J,Mercedes,HAM,Lewis,Hamilton,71,1:27:38.107,                         Austria                     ,03 Jul 2016
9,K,Mercedes,HAM,Lewis,Hamilton,52,1:34:55.831,                         Great Britain                     ,10 Jul 2016
10,L,Mercedes,HAM,Lewis,Hamilton,70,1:40:30.115,                         Hungary                     ,24 Jul 2016
11,I,Mercedes,HAM,Lewis,Hamilton,67,1:30:44.200,                         Germany                     ,31 Jul 2016
12,M,Mercedes,ROS,Nico,Rosberg,44,1:44:51.058,                         Belgium                     ,28 Aug 2016
13,P,Mercedes,ROS,Nico,Rosberg,53,1:17:28.089,                         Italy                     ,04 Sep 2016
14,R,Mercedes,ROS,Nico,Rosberg,61,1:55:48.950,                         Singapore                     ,18 Sep 2016
15,S,Red Bull Racing TAG Heuer,RIC,Daniel,Ricciardo,56,1:37:12.776,                         Malaysia                     ,02 Oct 2016
16,V,Mercedes,ROS,Nico,Rosberg,53,1:26:43.333,                         Japan                     ,09 Oct 2016
17,X,Mercedes,HAM,Lewis,Hamilton,56,1:38:12.618,                         United States                      ,23 Oct 2016
18,Q,Mercedes,HAM,Lewis,Hamilton,71,1:40:31.402,                         Mexico                     ,30 Oct 2016
19,Y,Mercedes,HAM,Lewis,Hamilton,71,3:01:01.335,                         Brazil                     ,13 Nov 2016
20,Z,Mercedes,HAM,Lewis,Hamilton,55,1:38:04.013,                         Abu Dhabi                     ,27 Nov 2016
0,A,Ferrari,VET,Sebastian,Vettel,57,1:24:11.672,                         Australia                     ,26 Mar 2017
1,B,Mercedes,HAM,Lewis,Hamilton,56,1:37:36.158,                         China                     ,09 Apr 2017
